date,value,drawdown
2024-08-29,500000.0,0.0
2024-08-30,500000.0,0.0
2024-09-03,498811.0,0.24
2024-09-04,498811.0,0.24
2024-09-05,498811.0,0.24
2024-09-06,498811.0,0.24
2024-09-09,498811.0,0.24
2024-09-10,498811.0,0.24
2024-09-11,498811.0,0.24
2024-09-12,498811.0,0.24
2024-09-13,500242.0,0.0
2024-09-16,500242.0,0.0
2024-09-17,500242.0,0.0
2024-09-18,500242.0,0.0
2024-09-19,500242.0,0.0
2024-09-20,500242.0,0.0
2024-09-23,500242.0,0.0
2024-09-24,502013.0,0.0
2024-09-25,502013.0,0.0
2024-09-26,502013.0,0.0
2024-09-27,502013.0,0.0
2024-09-30,502013.0,0.0
2024-10-01,498071.0,0.79
2024-10-02,498071.0,0.79
2024-10-03,498071.0,0.79
2024-10-04,498071.0,0.79
2024-10-07,498071.0,0.79
2024-10-08,497002.0,1.0
2024-10-09,497002.0,1.0
2024-10-10,497002.0,1.0
2024-10-11,497002.0,1.0
2024-10-14,497002.0,1.0
2024-10-15,497002.0,1.0
2024-10-16,497002.0,1.0
2024-10-17,498055.0,0.79
2024-10-18,498055.0,0.79
2024-10-21,498055.0,0.79
2024-10-22,498055.0,0.79
2024-10-23,498055.0,0.79
2024-10-24,498055.0,0.79
2024-10-25,493748.0,1.65
2024-10-28,501977.0,0.01
2024-10-29,503145.0,0.0
2024-10-30,503145.0,0.0
2024-10-31,502281.0,0.17
2024-11-01,502281.0,0.17
2024-11-04,498541.0,0.92
2024-11-05,498541.0,0.92
2024-11-06,497667.0,1.09
2024-11-07,497667.0,1.09
2024-11-08,497667.0,1.09
2024-11-11,512525.0,0.19
2024-11-12,512525.0,0.19
2024-11-13,512525.0,0.19
2024-11-14,506340.0,1.39
2024-11-15,506340.0,1.39
2024-11-18,506340.0,1.39
2024-11-19,506340.0,1.39
2024-11-20,506340.0,1.39
2024-11-21,506340.0,1.39
2024-11-22,506340.0,1.39
2024-11-25,506340.0,1.39
2024-11-26,506340.0,1.39
2024-11-27,516487.0,0.0
2024-11-29,516487.0,0.0
2024-12-02,516487.0,0.0
2024-12-03,516487.0,0.0
2024-12-04,516487.0,0.0
2024-12-05,524156.0,0.0
2024-12-06,524156.0,0.0
2024-12-09,524156.0,0.0
2024-12-10,524156.0,0.0
2024-12-11,525355.0,0.0
2024-12-12,524202.0,0.22
2024-12-13,524202.0,0.22
2024-12-16,524202.0,0.22
2024-12-17,524202.0,0.22
2024-12-18,522946.0,0.46
2024-12-19,522946.0,0.46
2024-12-20,517794.0,1.44
2024-12-23,517794.0,1.44
2024-12-24,517794.0,1.44
2024-12-26,517794.0,1.44
2024-12-27,517794.0,1.44
2024-12-30,517794.0,1.44
2024-12-31,517794.0,1.44
2025-01-02,517794.0,1.44
2025-01-03,517794.0,1.44
